name.orig,name.new,numeric
Sorting.code,Sorting.code,F
Citation,Citation,F
Study.Codes,Study.Codes,F
Data.point.code,Data.point.code,F
Scientific.Name,Scientific.Name,F
Common.Name.2,Common.Name.2,F
Nativity,Nativity,F
Authority,Authority,F
sp_code,sp_code,F
variety,variety,F
Subspecies,Subspecies,F
Species,Species,F
Genus,Genus,F
plant.form,plant.form,F
Subfamily,Subfamily,F
Family,Family,F
Order,Order,F
Subclass,Subclass,F
Class,Class,F
Subdivision,Subdivision,F
Division,Division,F
Superdivision,Superdivision,F
Subkingdom,Subkingdom,F
Kingdom,Kingdom,F
Plant.type,Plant.type,F
Clade,Clade,F
Latitude.2,Latitude.2,F
Longitude.2,Longitude.2,F
Lat_DD,lat,T
Long_DD,long,T
State..Territory..or.Region,State..Territory..or.Region,F
Country,Country,F
Continent,Continent,F
Elev..m..asl..3,elev,T
Source.for.elevation.data,Source.for.elevation.data,F
Stream.order,streamOrder,T
Stream.order.2,streamOrder2,T
Land.use,Land.use,F
Duration..d.,durationD,T
Duration..dd..2,durationDD2,T
X..sampling.dates,X..sampling.dates,F
mesh.size.category,mesh.size.category,F
T50..d.,t50d,T
k..d.,kd,T
n,n,T
estimated.k.,estimated.k.,F
equation.used,equation.used,F
min..ºC.,minC,T
max..ºC.,maxC,T
range..ºC.,rangeC,T
mean..ºC.,meanC,T
estimated.mean.,estimated.mean.,F
newName,newName,F
tidiedName,tidiedName,F
bio1,bio1,T
bio2,bio2,T
bio3,bio3,T
bio4,bio4,T
bio5,bio5,T
bio6,bio6,T
bio7,bio7,T
bio8,bio8,T
bio9,bio9,T
bio10,bio10,T
bio11,bio11,T
bio12,bio12,T
bio13,bio13,T
bio14,bio14,T
bio15,bio15,T
bio16,bio16,T
bio17,bio17,T
bio18,bio18,T
bio19,bio19,T
tidyNameOrig,tidyNameOrig,F
